sector,fiscal_year,number_of_agents,total_apprehensions,other_than_mexican_apprehensions,marijuana_pounds,cocaine_pounds,accepted_prosecutions,assaults,rescues,deaths,accompanied_juveniles,unaccompanied_juveniles,total_juveniles,total_adults,female_apprehensions,male_apprehensions
Miami,2018,111,2169,1572,711,92,231,1,NA,NA,22,27,49,2120,239,1930
New Orleans,2018,63,798,445,19,0,41,0,NA,NA,3,26,29,769,77,721
Ramey,2018,38,280,280,0,1609,70,0,NA,NA,0,3,3,277,36,244
Coastal Border,2018,212,3247,2297,731,1701,342,1,NA,NA,25,56,81,3166,352,2895
Blaine,2018,310,359,289,0,0,13,0,NA,NA,35,6,41,318,114,245
Buffalo,2018,286,384,244,0,0,36,2,NA,NA,3,5,8,376,76,308
Detroit,2018,416,1930,693,7,7,200,1,NA,NA,3,22,25,1905,251,1679
Grand Forks,2018,185,461,146,0,0,38,2,NA,NA,2,3,5,456,41,420
Havre,2018,177,47,26,0,0,4,0,NA,NA,1,0,2,45,10,37
Houlton,2018,186,52,45,0,0,18,0,NA,NA,1,1,1,51,15,37
Spokane,2018,236,347,65,1,1,59,0,NA,NA,0,1,1,346,16,331
Swanton,2018,301,736,563,2,2,313,6,NA,NA,73,15,88,648,180,556
Northern Border,2018,2097,4316,2071,1465,10,681,11,NA,NA,118,53,171,4145,703,3613
Big Bend,2018,499,8045,4634,26651,65,5128,11,1622,10,399,989,1388,2377,906,7139
Del Rio,2018,1366,15833,8359,1870,80,10925,12,71,24,1557,1297,2854,4151,2886,12947
El Centro,2018,844,29230,10449,623,165,2718,34,110,17,1884,2715,4599,7314,4302,24928
El Paso,2018,2171,31561,22159,15156,324,13048,54,14,4,6564,5461,12025,17486,9931,21630
Laredo,2018,1779,32641,10362,59237,387,13882,31,13,69,316,2879,3195,6074,3848,28793
Rio Grande Valley,2018,3096,162262,130809,204323,1857,24547,422,1509,96,33757,23757,57514,81271,52799,109463
San Diego,2018,2202,38591,11509,8787,1821,6978,84,25,4,2407,2491,4898,7389,5586,33005
Tucson,2018,3681,52172,22386,134084,62,28086,93,923,58,2596,5023,7619,12642,6495,45677
Yuma,2018,844,26244,23655,8103,78,4005,33,20,1,7730,5424,13154,18578,9227,17017
Southwest Border,2018,16608,396579,244322,458834,4838,109317,774,4307,283,57210,50036,107246,289333,95980,300599
Nationwide Total,2018,19555,404142,248690,461030,6550,110340,786,4307,283,57353,50145,107498,296644,97035,307107
Miami,2017,111,2280,1646,2253,231,292,1,NA,NA,19,42,61,2219,219,2061
New Orleans,2017,63,920,528,21,6,10,0,NA,NA,1,22,23,897,92,828
Ramey,2017,38,388,387,3,2932,89,0,NA,NA,7,1,8,380,65,323
Coastal Border,2017,212,3588,2561,2277,3169,391,1,NA,NA,27,65,92,3496,376,3212
Blaine,2017,296,288,237,0,0,9,0,NA,NA,29,7,36,252,97,191
Buffalo,2017,277,447,293,228,2,37,2,NA,NA,3,3,6,441,69,378
Detroit,2017,408,1070,322,124,0,85,1,NA,NA,5,11,16,1054,78,992
Grand Forks,2017,189,496,202,0,0,40,2,NA,NA,5,4,9,487,56,440
Havre,2017,183,39,28,98,0,2,0,NA,NA,1,3,4,35,13,26
Houlton,2017,173,30,30,17,0,2,0,NA,NA,1,8,9,21,17,13
Spokane,2017,230,208,67,68,0,24,0,NA,NA,3,0,3,205,17,191
Swanton,2017,292,449,359,531,1,103,6,NA,NA,18,10,28,421,106,343
Northern Border,2017,2048,3027,1538,1066,3,302,11,NA,NA,65,46,111,2916,453,2574
Big Bend,2017,500,6002,3346,40852,45,2847,11,26,1,506,811,1317,4685,985,5017
Del Rio,2017,1391,13476,6156,9482,62,8022,12,99,18,1348,1349,2697,10779,2622,10854
El Centro,2017,870,18633,5812,5554,484,1413,34,4,2,968,1531,2499,16134,2791,15842
El Paso,2017,2182,25193,15337,34189,140,6996,54,44,8,4642,3926,8568,16625,7364,17829
Laredo,2017,1666,25460,7891,69535,757,6119,31,1054,83,477,2033,2510,22950,3651,21809
Rio Grande Valley,2017,3130,137562,107909,260020,1192,7979,422,1190,104,27222,23708,50930,86632,50306,87256
San Diego,2017,2199,26086,7060,10985,2903,3099,84,48,4,1639,1551,3190,22896,4117,21969
Tucson,2017,3691,38657,12328,397090,331,20963,93,750,72,1088,3659,4747,33910,4693,33964
Yuma,2017,859,12847,10139,30181,261,2367,33,6,2,3241,2867,6108,6739,4328,8519
Southwest Border,2017,16605,303916,175978,857888,6174,59805,774,3221,294,41131,41435,82566,221350,80857,223059
Nationwide Total,2017,19437,310531,180077,861231,9346,60498,786,3221,294,41223,41546,82769,227762,81686,228845
Miami,2016,105,3205,2553,1229,344,263,3,NA,NA,38,20,58,3147,353,2852
New Orleans,2016,67,764,376,2,0,3,0,NA,NA,11,25,36,728,89,675
Ramey,2016,39,694,694,2,943,81,1,NA,NA,8,3,11,683,134,560
Coastal Border,2016,211,4663,3623,1232,1288,347,4,NA,NA,57,48,105,4558,576,4087
Blaine,2016,295,271,231,6,0,17,1,NA,NA,15,3,18,253,90,181
Buffalo,2016,285,226,144,1,0,17,0,NA,NA,2,0,2,224,35,191
Detroit,2016,411,716,212,41,1,49,1,NA,NA,2,3,5,711,62,654
Grand Forks,2016,181,505,153,0,0,68,6,NA,NA,1,5,6,499,35,470
Havre,2016,175,43,31,44,0,0,0,NA,NA,0,2,2,41,11,32
Houlton,2016,184,25,18,137,0,8,2,NA,NA,0,0,0,25,5,20
Spokane,2016,234,206,57,34,0,20,0,NA,NA,1,0,1,205,13,193
Swanton,2016,294,291,268,450,1,127,1,NA,NA,16,4,20,271,76,215
Northern Border,2016,2059,2283,1114,714,2,306,11,NA,NA,37,17,54,2229,327,1956
Big Bend,2016,511,6366,3638,41752,16,2392,9,42,2,578,951,1529,4837,1155,5211
Del Rio,2016,1439,23078,10125,10128,0,13987,13,18,14,1971,2689,4660,18418,4617,18461
El Centro,2016,927,19448,5087,2899,126,1134,22,36,9,849,1379,2228,17220,2952,16496
El Paso,2016,2240,25634,11974,67532,157,6900,34,13,1,3022,3885,6907,18727,5772,19862
Laredo,2016,1670,36562,11225,73261,663,12001,28,982,68,860,2953,3813,32749,5680,30882
Rio Grande Valley,2016,3135,186830,140496,326393,1460,8781,151,1377,130,28530,36714,65244,121586,63352,123478
San Diego,2016,2325,31891,6511,9167,1317,2683,52,77,7,1559,1553,3112,28779,4388,27503
Tucson,2016,3834,64891,18397,728367,174,24036,123,1409,84,1687,6302,7989,56902,7695,57196
Yuma,2016,829,14170,10657,32608,271,2341,7,10,7,3357,3266,6623,7547,4904,9266
Southwest Border,2016,17026,408870,218110,1292105,4184,74255,439,3964,322,42413,59692,102105,306765,100515,308355
Nationwide Total,2016,19828,415816,222847,1294052,5473,74908,454,3964,322,42507,59757,102264,313552,101418,314398
Miami,2015,96,1752,1479,485,316,155,0,NA,NA,61,20,81,1671,261,1491
New Orleans,2015,66,849,455,57,3,10,0,NA,NA,19,26,45,804,93,756
Ramey,2015,50,557,556,612,6565,55,0,NA,NA,8,5,13,544,110,447
Coastal Border,2015,212,3158,2490,1154,6884,220,0,NA,NA,88,51,139,3019,464,2694
Blaine,2015,297,282,215,94,0,13,4,NA,NA,19,2,21,261,71,211
Buffalo,2015,283,291,154,2,0,32,0,NA,NA,1,2,3,288,52,239
Detroit,2015,411,637,210,13,2,42,1,NA,NA,2,4,6,631,73,564
Grand Forks,2015,174,789,226,1,0,93,0,NA,NA,4,3,7,782,51,738
Havre,2015,167,64,18,4,0,0,0,NA,NA,0,0,0,64,2,62
Houlton,2015,193,32,31,20,0,1,0,NA,NA,1,1,2,30,14,18
Spokane,2015,229,190,37,19,37,10,0,NA,NA,2,0,2,188,6,184
Swanton,2015,297,341,298,502,3,108,0,NA,NA,11,2,13,328,97,244
Northern Border,2015,2051,2626,1189,654,42,299,5,NA,NA,40,14,54,2572,366,2260
Big Bend,2015,549,5031,2854,34506,95,1451,5,23,4,482,839,1321,3710,1001,4030
Del Rio,2015,1536,19013,8139,15718,69,10948,3,8,12,1188,2285,3473,15540,3804,15209
El Centro,2015,1004,12820,1500,8768,332,1352,39,7,4,384,668,1052,11768,2035,10785
El Paso,2015,2364,14495,3818,60030,175,6125,27,31,2,715,1662,2377,12118,2242,12253
Laredo,2015,1670,35888,10122,92769,760,14903,34,491,47,806,2459,3265,32623,5700,30188
Rio Grande Valley,2015,3056,147257,99084,516664,1809,9049,110,714,97,15157,23864,39021,108236,43495,103762
San Diego,2015,2430,26290,2021,8158,895,1907,60,105,6,610,1084,1694,24596,3085,23205
Tucson,2015,3991,63397,14481,746868,153,30518,87,790,63,1663,6019,7682,55715,8317,55080
Yuma,2015,804,7142,3297,53019,3,2071,8,14,5,999,1090,2089,5053,1784,5358
Southwest Border,2015,17522,331333,145316,1536499,4294,78324,373,2183,240,22004,39970,61974,269359,71463,259870
Nationwide Total,2015,20273,337117,148995,1538307,11220,78843,378,2183,240,22132,40035,62167,274950,72293,264824
Miami,2014,94,2034,1757,79,10,168,1,NA,NA,63,28,91,1943,365,1669
New Orleans,2014,62,950,485,9,10,6,0,NA,NA,13,21,34,916,108,842
Ramey,2014,59,958,958,1145,0,78,0,NA,NA,2,16,18,940,245,713
